title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable aerosol.mon.scldncl_tavg-u-hxy-scl (Emon.scldncl),1014,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1014,mon aerosol,scldncl_tavg-u-hxy-scl,number_concentration_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,Not present,area: areacella,area: time: mean,Cloud Droplet Number Concentration of Stratiform Cloud Tops,longitude latitude time,mon,Cloud Droplet Number Concentration of Stratiform Cloud Tops,aerosol,,,m-3,New,,,,,
Variable aerosol.mon.reffsclwtop_tavg-u-hxy-scl (Emon.reffsclwtop),993,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/993,mon aerosol,reffsclwtop_tavg-u-hxy-scl,effective_radius_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top,Not present,area: areacella,area: time: mean where stratiform_cloud (weighted by total stratiform cloud area),Cloud-Top Effective Droplet Radius in Stratiform Cloud,longitude latitude time,mon,Cloud-Top Effective Droplet Radius in Stratiform Cloud,aerosol,,,m,New,,,,,
Variable aerosol.mon.reffccwctop_tavg-u-hxy-ccl (Emon.reffccwctop),988,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/988,mon aerosol,reffccwctop_tavg-u-hxy-ccl,effective_radius_of_cloud_condensed_water_particles_at_cloud_top,Not present,area: areacella,area: time: mean,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,longitude latitude time,mon,Cloud-Top Effective Radius of Liquid or Ice Cloud at Liquid or Ice Cloud Top,aerosol,,,m,New,,,,,
Variable aerosol.mon.reffcclwtop_tavg-u-hxy-ccl (Emon.reffcclwtop),987,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/987,mon aerosol,reffcclwtop_tavg-u-hxy-ccl,effective_radius_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,Not present,area: areacella,area: time: mean where convective_cloud (weighted by total convective cloud area),Cloud-Top Effective Droplet Radius in Convective Cloud,longitude latitude time,mon,Cloud-Top Effective Droplet Radius in Convective Cloud,aerosol,,,m,New,,,,,
Variable aerosol.mon.ccldncl_tavg-u-hxy-ccl (Emon.ccldncl),858,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/858,mon aerosol,ccldncl_tavg-u-hxy-ccl,number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,Not present,area: areacella,area: time: mean,Cloud Droplet Number Concentration of Convective Cloud Tops,longitude latitude time,mon,Cloud Droplet Number Concentration of Convective Cloud Tops,aerosol,,,m-3,New,,,,,
Variable aerosol.3hr.so2_tavg-u-hm-u (E3hrPt.so2),702,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/702,3hr aerosol,so2_tavg-u-hm-u,mole_fraction_of_sulfur_dioxide_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface so2 volume mixing ration at CF sites, sampled every 3 hours",site time1,3hr,Surface SO2 volume mixing ratio at CF sites,aerosol,,,mol mol-1,New,,,,,
Variable aerosol.3hr.mmrss_tpt-u-hm-u (E3hrPt.mmrss),701,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/701,3hr aerosol,mmrss_tpt-u-hm-u,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents instantaneous surface sea salt aerosol mass mixing ratio at CF sites, sampled every 3 hours",site time1,3hr,Sea salt Aerosol Mass Mixing Ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmrso4_tpt-u-hm-u (E3hrPt.mmrso4),700,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/700,3hr aerosol,mmrso4_tpt-u-hm-u,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable is for instantaneous surface mass mixing ratio of sulfate aerosol at CF sites, sampled every 3 hours",site time1,3hr,Instantaneous Aerosol Sulfate Mass Mixing Ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmroa_tpt-u-hm-u (E3hrPt.mmroa),699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/699,3hr aerosol,mmroa_tpt-u-hm-u,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface organic aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours.",site time1,3hr,Instantaneous surface total organic aerosol mass mixing ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmrno3_tpt-u-hm-u (E3hrPt.mmrno3),698,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/698,3hr aerosol,mmrno3_tpt-u-hm-u,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NO3 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1,3hr,Instantaneous surface NO3 aerosol mass mixing ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmrnh4_tpt-u-hm-u (E3hrPt.mmrnh4),697,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/697,3hr aerosol,mmrnh4_tpt-u-hm-u,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface NH4 Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1,3hr,Instantaneous surface NH4 aerosol mass mixing ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.3hr.mmrdust_tpt-u-hm-u (E3hrPt.mmrdust),696,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/696,3hr aerosol,mmrdust_tpt-u-hm-u,mass_fraction_of_dust_dry_aerosol_particles_in_air,Not present,::MODEL,area: point time: point,"This variable represents the instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites, sampled every 3 hours",site time1,3hr,Instantaneous surface Dust Aerosol Mass Mixing Ratio at CF sites,aerosol,,,kg kg-1,New,,,,,
