title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable atmosChem.mon.flashrate_tavg-u-hxy-u (Emon.flashrate),917,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/917,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31,flashrate_tavg-u-hxy-u,frequency_of_lightning_flashes_per_unit_area,"""comment"" was ""proposed name: lightning_flash_rate (units to be interpreted as 'counts km-2 s-1)"";",area: areacella,area: time: mean,Lightning Flash Rate,longitude latitude time,mon,Lightning Flash Rate,atmosChem,,,km-2 s-1,CMIP6 CMOR variable,div_by_area(m01s50i082[lbproc=128]),,div_by_area(m01s50i082[lbproc=128]),,m-2 min-1
Variable atmosChem.mon.o3ste_tavg-l-hxy-u (AERmon.o3ste),367,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/367,mon atmosChem CMIP6,o3ste_tavg-l-hxy-u,mole_fraction_of_ozone_in_air,"""comment"" was ""Ozone tracer intended to map out strat-trop exchange (STE) of ozone. Set to ozone in the stratosphere, then destroyed in the troposphere using the ozone chemical loss rate. Please specify the tropopause definition used""; ; ""modeling_realm"" was ""aerosol"";",area: areacella,area: time: mean,Ozone tracer intended to map out strat-trop exchange (STE) of ozone.,longitude latitude alevel time,mon,Stratospheric Ozone Tracer Volume Mixing Ratio,atmosChem,,,mol mol-1,CMIP6 CMOR variable,,,,,
Variable atmosChem.mon.dms_tavg-l-hxy-u (AERmon.dms),276,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/276,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31,dms_tavg-l-hxy-u,mole_fraction_of_dimethyl_sulfide_in_air,"""modeling_realm"" was ""aerosol"";",area: areacella,area: time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude alevel time,mon,Dimethyl Sulphide (DMS) Mole Fraction,atmosChem,,,mol mol-1,CMIP6 CMOR variable,m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),,m01s34i071[lbproc=128] * (MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_DMS),,mol mol-1
Variable atmosChem.mon.o3_tclm-p19-hxy-air (Amon.o3Clim),39,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/39,mon atmosChem CMIP6,o3_tclm-p19-hxy-air,mole_fraction_of_ozone_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""modeling_realm"" was ""atmos atmosChem"";",area: areacella,area: mean where air time: mean within years time: mean over years,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude plev19 time2,mon,Mole Fraction of O3,atmosChem,,"If O3 does not vary from one year to the next, report 12 months, starting with January.   (Note: include all 12 months even if the values do not vary seasonally.)  When calling CMOR, identify this variable as tro3Clim, not tro3. If the O3 varies from one year to the next,  then report instead the field described in the previous table entry.  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?; CHANGE SINCE CMIP6 in CMIP7 Frequency - CMIP6:monC CMIP7:mon, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",mol mol-1,CMIP6 CMOR variable,,,,,
Variable atmosChem.mon.o3_tavg-p19-hxy-air (Amon.o3),38,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/38,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31,o3_tavg-p19-hxy-air,mole_fraction_of_ozone_in_air,"""modeling_realm"" was ""atmos atmosChem"";",area: areacella,time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",longitude latitude plev19 time,mon,Mole Fraction of O3,atmosChem,,"If this does not change over time (except possibly to vary identically over each annual cycle), report instead the variable described in the next table entry.  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?",mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3) * m01s51i001[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]",,mol mol-1
Variable atmosChem.mon.n2o_tclm-u-hm-u (Amon.n2oglobalClim),37,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/37,mon atmosChem CMIP6,n2o_tclm-u-hm-u,mole_fraction_of_nitrous_oxide_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""units"" was ""1e-09""; ; ""modeling_realm"" was ""atmos atmosChem"";",,height: sum (through atmospheric column) area: sum time: mean within years time: mean over years,Global mean Nitrous Oxide (N2O),time2,mon,Global Mean Mole Fraction of N2O,atmosChem,,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as ch4globalClim, not ch4global.  If N2O is spatially nonuniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry before the previous one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?; CHANGE SINCE CMIP6 in CMIP7 Frequency - CMIP6:monC CMIP7:mon, CHANGE SINCE CMIP6 in Units (from Physical Parameter) - CMIP6:1.00E-09 CMIP7:mol mol-1, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:height: sum (through atmospheric column) area: sum time: mean within years time: mean over years,",mol mol-1,CMIP6 CMOR variable,,,,,
Variable atmosChem.mon.n2o_tavg-u-hm-u (Amon.n2oglobal),36,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/36,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31,n2o_tavg-u-hm-u,mole_fraction_of_nitrous_oxide_in_air,"""units"" was ""1e-09""; ; ""modeling_realm"" was ""atmos atmosChem""; ; ""cell_methods"" was ""area: time: mean"";",,height: sum (through atmospheric column) area: sum time: mean,Global mean Nitrous Oxide (N2O),time,mon,Global Mean Mole Fraction of N2O,atmosChem,,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If N2O is spatially nonuniform, omit this field, but report Mole Fraction of N2O (see the table entry before the previous one).   Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: sum (through atmospheric column) area: sum time: mean,",1E-09,CMIP6 CMOR variable,"mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)",,"mmr2molefrac(m01s50i063[lbproc=128], m01s34i049[lbproc=128], MOLECULAR_MASS_OF_N2O)",,1
Variable atmosChem.mon.n2o_tclm-p19-hxy-air (Amon.n2oClim),35,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/35,mon atmosChem CMIP6,n2o_tclm-p19-hxy-air,mole_fraction_of_nitrous_oxide_in_air,"""frequency"" was ""monC""; ; ""cell_methods"" was ""area: mean time: mean within years time: mean over years""; ; ""modeling_realm"" was ""atmos atmosChem"";",area: areacella,area: mean where air time: mean within years time: mean over years,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",longitude latitude plev19 time2,mon,Mole Fraction of N2O,atmosChem,,"Report only for simulations (e.g., prescribed concentration pi-control run), in which the N2O does not vary from one year to the next. Report 12 monthly values, starting with January, even if the values do not vary seasonally.  When calling CMOR, identify this variable as n2oglobal, not n2o.   If  N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?; CHANGE SINCE CMIP6 in CMIP7 Frequency - CMIP6:monC CMIP7:mon, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within years time: mean over years CMIP7:area: mean where air time: mean within years time: mean over years,",mol mol-1,CMIP6 CMOR variable,,,,,
Variable atmosChem.mon.n2o_tavg-p19-hxy-air (Amon.n2o),34,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/34,mon atmosChem CMIP6 UKESM1 HadGEM3-GC31,n2o_tavg-p19-hxy-air,mole_fraction_of_nitrous_oxide_in_air,"""modeling_realm"" was ""atmos atmosChem"";",area: areacella,time: mean,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",longitude latitude plev19 time,mon,Mole Fraction of N2O,atmosChem,,"For some simulations (e.g., prescribed concentration pi-control run), this will not vary from one year to the next, and so report instead the variable described in the next table entry.  If N2O is spatially uniform, omit this field, but report Global Mean Mole Fraction of N2O (see the table entry after the next one).  Are these the preferred units or should it be a unitless fraction?  Should this field be reported instead on model levels?  Or should we also require either the vertically integrated mole fraction (or mass?) of this species or the vertically integrated globally averaged mole fraction (or mass?)?",mol mol-1,CMIP6 CMOR variable,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]",,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O) * m01s51i049[blev=PLEV19, lbproc=128] / m01s51i999[blev=PLEV19, lbproc=128]",,mol mol-1
Variable atmosChem.mon.hcfc22_tavg-u-hm-u (Amon.hcfc22global),26,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/26,mon atmosChem CMIP6,hcfc22_tavg-u-hm-u,mole_fraction_of_hcfc22_in_air,"""units"" was ""1e-12""; ; ""modeling_realm"" was ""atmos atmosChem""; ; ""cell_methods"" was ""area: time: mean"";",,height: area: time: mean (with all samples weighted by the number of moles of air in the sample),"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for HCFC22 is CHClF2.  The IUPAC name for HCFC22 is chloro-difluoro-methane.",time,mon,Global Mean Mole Fraction of HCFC22,atmosChem,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: sum (through atmospheric column) area: sum time: mean,; CHANGE SINCE CMIP6 in Modeling Realm - primary - CMIP6:atmos, atmosChem CMIP7:atmosChem, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean CMIP7:height: area: time: mean (with all samples weighted by the number of moles of air in the sample),",1E-12,CMIP6 CMOR variable,,,,,
