title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable atmos.mon.tntd_tavg-l-hxy-u (Emon.tntd),1861,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1861,mon atmos CMIP6,tntd_tavg-l-hxy-u,tendency_of_air_temperature_due_to_diffusion,,area: areacella,area: time: mean,"This includes any horizontal or vertical numerical temperature diffusion not associated with the parametrized moist physics or the resolved dynamics.  For example, any vertical diffusion which is part of the boundary layer mixing scheme should be excluded, as should any diffusion which is included in the terms from the resolved dynamics.   This term is required to check the closure of the temperature budget.",longitude latitude alevel time,mon,Tendency of Air Temperature Due to Numerical Diffusion,atmos,,,K s-1,CMIP6 CMOR variable,,,,,
Variable atmos.day.vtem_tavg-p39-hy-air (EdayZ.vtem),1858,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1858,day atmos CMIP6 UKESM1 HadGEM3-GC31,vtem_tavg-p39-hy-air,northward_transformed_eulerian_mean_air_velocity,"""cell_methods"" was ""longitude: mean time: mean""; ; ""comment"" was ""Transformed Eulerian Mean Diagnostics v*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."";",,longitude: time: mean where air,zonal mean; hence YZT,latitude plev39 time,day,Transformed Eulerian Mean Northward Wind,atmos,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:longitude: mean time: mean CMIP7:longitude: time: mean where air,",m s-1,CMIP6 CMOR variable,"mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])",,"mask_vtem(m01s30i310[blev=PLEV39, lbproc=192], m01s30i301[blev=PLEV39, lbproc=192])",,m s-1
Variable atmos.fx.zfull_ti-l-hxy-u (fx.zfull),1857,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1857,fx atmos CMIP6,zfull_ti-l-hxy-u,height_above_reference_ellipsoid,"""comment"" was ""Height of full model levels above a reference ellipsoid. A reference ellipsoid is a mathematical figure that approximates the geoid. The geoid is a surface of constant geopotential with which mean sea level would coincide if the ocean were at rest. The ellipsoid is an approximation because the geoid is an irregular shape. A number of reference ellipsoids are defined for use in the field of geodesy. To specify which reference ellipsoid is being used, a grid_mapping variable should be attached to the data variable as described in Chapter 5.6 of the CF Convention."";",area: areacella,area: mean,Provide only if altitude of full model levels is fixed,longitude latitude alevel,fx,Altitude of Model Full-Levels,atmos,,,m,CMIP6 CMOR variable,,,,,
Variable atmos.fx.sftlf_ti-u-hxy-u (fx.sftlf),1855,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1855,fx atmos CMIP6 UKESM1 HadGEM3-GC31 BCV,sftlf_ti-u-hxy-u,land_area_fraction,"""long_name"" was ""Percentage of the grid  cell occupied by land (including lakes)"";",area: areacella,area: mean,Percentage of horizontal area occupied by land.,longitude latitude,fx,Percentage of the Grid Cell Occupied by Land (Including Lakes),atmos,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",%,CMIP6 CMOR variable,m01s00i505,,m01s00i505,,1
Variable atmos.fx.lon_ti-u-hxys-u (fx.lon),1850,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1850,fx atmos CMIP6,lon_ti-u-hxys-u,longitude,,,area: point,"Longitude is positive eastward; its units of degree_east (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_longitude should be used instead of longitude. Grid longitude is positive in the grid-eastward direction, but its units should be plain degree.",site,fx,Longitude,atmos,,"Note that the CF convention and CMOR2 require that this field will be included in each file that contains a variable that is a function of the ""site"" dimension, so there is no need to save this field by itself.  It is included here simply to indicate that longitudes should be stored for the site grid in each file written.; CHANGE SINCE CMIP6: compound name,",degrees_east,CMIP6 CMOR variable,,,,,
Variable atmos.fx.lat_ti-u-hxys-u (fx.lat),1848,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1848,fx atmos CMIP6,lat_ti-u-hxys-u,latitude,,,area: point,"Latitude is positive northward; its units of degree_north (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid_latitude should be used instead of latitude. Grid latitude is positive in the grid-northward direction, but its units should be plain degree.",site,fx,Latitude,atmos,,"the above comment also applies to latitude.; CHANGE SINCE CMIP6: compound name,",degrees_north,CMIP6 CMOR variable,,,,,
Variable atmos.fx.areacella_ti-u-hxy-u (fx.areacella),1844,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1844,fx atmos CMIP6 UKESM1 HadGEM3-GC31 BCV,areacella_ti-u-hxy-u,cell_area,"""comment"" was ""For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.""; ; ""modeling_realm"" was ""atmos land"";",,area: sum,"Cell areas for any grid used to report atmospheric variables and any other variable using that grid (e.g., soil moisture content). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).",longitude latitude,fx,Grid-Cell Area for Atmospheric Grid Variables,atmos,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",m2,CMIP6 CMOR variable,areacella(m01s00i505),,areacella(m01s00i505),,m2
Variable atmos.day.zg_tavg-p19-hxy-air (day.zg),1843,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1843,day atmos CMIP6 UKESM1 HadGEM3-GC31,zg_tavg-p19-hxy-air,geopotential_height,"""dimensions"" was ""longitude latitude plev8 time"";",area: areacella,time: mean,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",longitude latitude plev19 time,day,Geopotential Height,atmos,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",m,CMIP6 CMOR variable,"m01s30i297[blev=PLEV8, lbproc=128] / m01s30i304[blev=PLEV8, lbproc=128]",,"m01s30i297[blev=PLEV8, lbproc=128] / m01s30i304[blev=PLEV8, lbproc=128]",,m
Variable atmos.day.wap_tavg-p19-hxy-u (day.wap),1840,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1840,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV,wap_tavg-p19-hxy-u,lagrangian_tendency_of_air_pressure,"""dimensions"" was ""longitude latitude plev8 time""; ; ""comment"" was ""Omega (vertical velocity in pressure coordinates, positive downwards)"";",area: areacella,time: mean,"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",longitude latitude plev19 time,day,Omega (=dp/dt),atmos,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",Pa s-1,CMIP6 CMOR variable,"m01s30i298[blev=PLEV8, lbproc=128] / m01s30i304[blev=PLEV8, lbproc=128]",,"m01s30i298[blev=PLEV8, lbproc=128] / m01s30i304[blev=PLEV8, lbproc=128]",,Pa s-1
Variable atmos.day.vas_tavg-h10m-hxy-u (day.vas),1839,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1839,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV,vas_tavg-h10m-hxy-u,northward_wind,,area: areacella,area: time: mean,Northward component of the near surface wind,longitude latitude time height10m,day,Northward Near-Surface Wind,atmos,,"normally, report this at 10 meters above the surface; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time height10m CMIP7:longitude latitude time  height10m,;  Changes since reverted/fixed. Variable now matches CMIP6 definition.",m s-1,CMIP6 CMOR variable,m01s03i210[lbproc=128],,m01s03i210[lbproc=128],,m s-1
Variable atmos.day.va_tavg-p19-hxy-air (day.va),1838,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1838,day atmos CMIP6 UKESM1 HadGEM3-GC31 BCV,va_tavg-p19-hxy-air,northward_wind,"""dimensions"" was ""longitude latitude plev8 time"";",area: areacella,time: mean,Meridional wind (positive in a northward direction).,longitude latitude plev19 time,day,Northward Wind,atmos,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",m s-1,CMIP6 CMOR variable,"m01s30i202[blev=PLEV8, lbproc=128] / m01s30i301[blev=PLEV8, lbproc=128]",,"m01s30i202[blev=PLEV8, lbproc=128] / m01s30i301[blev=PLEV8, lbproc=128]",,m s-1
