title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable atmos.day.tawbmax_tstat-h2m-hxy-u (day.wbgt2mmax),1842,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1842,day atmos,tawbmax_tstat-h2m-hxy-u,wet_bulb_globe_temperature,Not present,area: areacella,area: time: mean,"max 2m daily wet bulb globe temperature (WGBT): Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes. The calculation should be done with: WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, where T_C is temperature in degrees C, and e = huss \* p \* M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""",longitude latitude time height2m,day,maximum 2m daily wet bulb globe temperature,atmos,,"The calculation should be done with: ; WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, ; where T_C is temperature in degrees C, ; and e = huss \* p \* M_air / M_H2O, ; where ""huss=specific humidity in kg/kg"", ; M_H2O = 18.01528/1000 # kg/mol, ; M_air = 28.964/1000 # kg/mol for dry air,; and ""P = surface pressure in Pa""",degC,New,,,,,
Variable atmos.day.tawb_tavg-h2m-hxy-u (day.wbgt2m),1841,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1841,day atmos,tawb_tavg-h2m-hxy-u,wet_bulb_globe_temperature,Not present,area: areacella,area: time: mean,"mean 2m daily wet bulb globe temperature (WBGT). Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes. The calculation should be done with: WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, where T_C is temperature in degrees C, and e = huss \* p \* M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""",longitude latitude time height2m,day,mean 2m daily wet bulb globe temperature,atmos,,"The calculation should be done with: ; WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, ; where T_C is temperature in degrees C, ; and e = huss \* p \* M_air / M_H2O, ; where ""huss=specific humidity in kg/kg"", ; M_H2O = 18.01528/1000 # kg/mol, ; M_air = 28.964/1000 # kg/mol for dry air,; and ""P = surface pressure in Pa""",degC,New,,,,,
Variable atmos.day.rsut_tavg-u-hxy-u (day.rsut),1826,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1826,day atmos,rsut_tavg-u-hxy-u,toa_outgoing_shortwave_flux,Not present,area: areacella,area: time: mean,Outgoing shortwave radiation at the top of the atmosphere.,longitude latitude time,day,TOA Outgoing Shortwave Radiation,atmos,,,W m-2,New,,,,,
Variable atmos.day.rsdt_tavg-u-hxy-u (day.rsdt),1823,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1823,day atmos,rsdt_tavg-u-hxy-u,toa_incoming_shortwave_flux,Not present,area: areacella,area: time: mean,Shortwave radiation incident at the top of the atmosphere.,longitude latitude time,day,TOA Incident Shortwave Radiation,atmos,,,W m-2,New,,,,,
Variable atmos.day.rluscs_tavg-u-hxy-u (day.rluscs),1820,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1820,day atmos,rluscs_tavg-u-hxy-u,surface_upwelling_longwave_flux_assuming_clear_sky,Not present,area: areacella,area: time: mean,Surface Upwelling Clear-sky Longwave Radiation,longitude latitude time,day,Surface Upwelling Clear-Sky Longwave Radiation,atmos,up,,W m-2,New,,,,,
Variable atmos.day.noaahimax_tstat-h2m-hxy-u (day.noaahi2mmax),1812,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1812,day atmos,noaahimax_tstat-h2m-hxy-u,heat_index_of_air_temperature,Not present,area: areacella,area: time: mean,max 2m daily NOAA heat index,longitude latitude time height2m,day,max 2m daily NOAA heat index,atmos,,"NOAA heat index = -42.379 + 2.04901523T + 10.14333127R - 0.22475541TR - 6.83783 x 10-3T2 - 5.481717 x 10-2R2 + 1.22874 x 10-3T2R + 8.5282 x 10-4TR2 - 1.99 x 10-6T2R2; where T is 2 m temperature (degrees F), R is relative humidity (%).; The heat index is only defined when the ambient air temperature is at or above 299.817 K.",degC,New,,,,,
Variable atmos.day.noaahi_tavg-h2m-hxy-u (day.noaahi2m),1811,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1811,day atmos,noaahi_tavg-h2m-hxy-u,heat_index_of_air_temperature,Not present,area: areacella,area: time: mean,mean 2m daily NOAA heat index.,longitude latitude time height2m,day,mean 2m daily NOAA heat index,atmos,,"NOAA heat index = -42.379 + 2.04901523T + 10.14333127R - 0.22475541TR - 6.83783 x 10-3T2 - 5.481717 x 10-2R2 + 1.22874 x 10-3T2R + 8.5282 x 10-4TR2 - 1.99 x 10-6T2R2; where T is 2 m temperature (degrees F), R is relative humidity (%).; Heat index is only defined when the ambient air temperature is at or above 299.817 K.",degC,New,,,,,
Variable atmos.mon.utendogw_tavg-p39-hy-air (EmonZ.utendogw),1074,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1074,mon atmos,utendogw_tavg-p39-hy-air,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,Not present,,longitude: time: mean where air,Zonal mean tendency of eastward wind induced by the parameterized orographic gravity wave drag,latitude plev39 time,mon,Eastward Acceleration Due to Orographic Gravity Wave Drag,atmos,,"This is the total tendency due to parameterized orographic gravity wave drag, which is the sum of all possible components of the parameterization (where applicable). We ask that in the Essential Model Documentation modelling centers specify the parameterization scheme used and the specific values of its tunable parameters used for the simulation, and a specification of the part of the gravity wave spectrum that is targeted by the parameterization (e.g., minimally, the effective resolution of the model).",m s-2,New,,,,,
Variable atmos.mon.wsgmax_tstat-h10m-hxy-u (Emon.wsgmax10m),1060,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1060,mon atmos,wsgmax_tstat-h10m-hxy-u,wind_speed_of_gust,Not present,area: areacella,area: mean time: maximum,"Maximum Wind Speed of Gust at 10m, monthly",longitude latitude time height10m,mon,Maximum Wind Speed of Gust at 10m,atmos,,"Maximum instantaneous gust over grid cell, recorded monthly. Input data at the highest available frequency, ideally model timesteps, should be used to compute the maximum. Modellers are requested to leave in a comment in the netcdf metadata stating the frequency of the input data.",m s-1,New,,,,,
Variable atmos.mon.wsgmax_tstat-h100m-hxy-u (Emon.wsgmax100m),1059,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1059,mon atmos,wsgmax_tstat-h100m-hxy-u,wind_speed_of_gust,Not present,area: areacella,area: mean time: maximum,"Maximum Wind Speed of Gust at 100m, monthly",longitude latitude time height100m,mon,Maximum Wind Speed of Gust at 100m,atmos,,"Maximum instantaneous gust over grid cell, recorded monthly. Input data at the highest available frequency, ideally model timesteps, should be used to compute the maximum. Modellers are requested to leave in a comment in the netcdf metadata stating the frequency of the input data.",m s-1,New,,,,,
Variable atmos.mon.tauvogw_tavg-p19-hxy-air (Emon.tauvogw),1027,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1027,mon atmos,tauvogw_tavg-p19-hxy-air,upward_northward_momentum_flux_in_air_due_to_orographic_gravity_waves,Not present,area: areacella,area: time: mean where air,Vertical flux of meridional momentum within the orographic gravity wave parameterization,longitude latitude plev19 time,mon,Northward Reynolds stress from orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.mon.tauvnogw_tavg-p19-hxy-air (Emon.tauvnogw),1026,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1026,mon atmos,tauvnogw_tavg-p19-hxy-air,upward_northward_momentum_flux_in_air_due_to_nonorographic_gravity_waves,Not present,area: areacella,area: time: mean where air,Vertical flux of meridional momentum within the non-orographic gravity wave parameterization.,longitude latitude plev19 time,mon,Northward Reynolds stress from non-orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.mon.tauuogw_tavg-p19-hxy-air (Emon.tauuogw),1025,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1025,mon atmos,tauuogw_tavg-p19-hxy-air,upward_eastward_momentum_flux_in_air_due_to_orographic_gravity_waves,Not present,area: areacella,area: time: mean where air,The vertical flux of zonal momentum within the orographic gravity wave parameterization.,longitude latitude plev19 time,mon,Eastward Reynolds stress from orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.mon.tauunowgw_tavg-p19-hxy-air (Emon.tauunowgw),1024,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1024,mon atmos,tauunowgw_tavg-p19-hxy-air,upward_eastward_momentum_flux_in_air_due_to_nonorographic_westward_gravity_waves,Not present,area: areacella,area: time: mean where air,Vertical flux of zonal momentum within the non-orographic gravity wave parameterization associated with the westward propagating modes.,longitude latitude plev19 time,mon,Eastward Reynolds stress from non-orographic westward gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.mon.tauunoegw_tavg-p19-hxy-air (Emon.tauunoegw),1023,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1023,mon atmos,tauunoegw_tavg-p19-hxy-air,upward_eastward_momentum_flux_in_air_due_to_nonorographic_eastward_gravity_waves,Not present,area: areacella,area: time: mean where air,Vertical flux of zonal momentum within the non-orographic gravity wave parameterization associated with the eastward propagating modes.,longitude latitude plev19 time,mon,Eastward Reynolds stress from non-orographic eastward gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.mon.albsrfc_tavg-u-hxy-sn (Emon.albsrfc),835,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/835,mon atmos,albsrfc_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean,"surface albedo at grid cell level (i.e. the albedo averaged over all potential subgrid-scale structures) over all wave-bands; this shall apply to all realms (land, ocean, sea ice, land ice)",longitude latitude time,mon,Monthly Albedo of the Surface,atmos,,"There is a variable AERmon.albsrfc, but I am not sure whether the definition applies to the description above; furthermore, the variable would also be of relevance outside of the AER focus, hence we may consider whether it should go into another category as well (I had Emon in mind.); Whether this variable should be provided at atmosphere/land or ocean grid, and the respective grid cell metrics, must be discussed.",1,New,,,,,
Variable atmos.day.tntrs_tavg-p39-hy-air (EdayZ.tntrs),821,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/821,day atmos,tntrs_tavg-p39-hy-air,tendency_of_air_temperature_due_to_shortwave_heating,Not present,,longitude: time: mean where air,"Zonal mean tendency of air temperature due to shortwave heating, all sky, with the extended number of vertical levels.",latitude plev39 time,day,"Zonal mean tendency of air temperature due to shortwave heating, all sky",atmos,,,K s-1,New,,,,,
Variable atmos.day.tntrl_tavg-p39-hy-air (EdayZ.tntrl),820,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/820,day atmos,tntrl_tavg-p39-hy-air,tendency_of_air_temperature_due_to_longwave_heating,Not present,,longitude: time: mean where air,"Zonal mean tendency of air temperature due to longwave heating, all sky, with the extended number of vertical levels.",latitude plev39 time,day,"Zonal mean tendency of air temperature due to longwave heating, all sky",atmos,,,K s-1,New,,,,,
Variable atmos.day.tntmp_tavg-p39-hy-air (EdayZ.tntmp),819,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/819,day atmos,tntmp_tavg-p39-hy-air,tendency_of_air_temperature_due_to_model_physics,Not present,,longitude: time: mean where air,"Zonal mean tendency of air temperature due to model physics, with the extended number of vertical levels",latitude plev39 time,day,Zonal mean tendency of air temperature due to model physics,atmos,,"This is the total temperature tendency due to parameterized physics, which is the sum of contributes from all relevant parameterizations. We ask that in the Essential Model Documentation modelling centers specify the parameterized process contributing to this tendency, and (where applicable) specific values of their tunable parameters used for the simulation.",K s-1,New,,,,,
Variable atmos.day.tauvogw_tavg-p39-hy-air (EdayZ.tauvogw),818,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/818,day atmos,tauvogw_tavg-p39-hy-air,upward_northward_momentum_flux_in_air_due_to_orographic_gravity_waves,Not present,,longitude: time: mean where air,Zonal mean vertical flux of meridional momentum within the orographic gravity wave parameterization,latitude plev39 time,day,Zonal mean northward Reynolds stress from orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.day.tauvnogw_tavg-p39-hy-air (EdayZ.tauvnogw),817,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/817,day atmos,tauvnogw_tavg-p39-hy-air,upward_northward_momentum_flux_in_air_due_to_nonorographic_gravity_waves,Not present,,longitude: time: mean where air,Zonal mean vertical wave flux of meridional momentum within the non-orographic gravity wave parameterization,latitude plev39 time,day,Zonal mean northward Reynolds stress from non-orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.day.tauuogw_tavg-p39-hy-air (EdayZ.tauuogw),816,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/816,day atmos,tauuogw_tavg-p39-hy-air,upward_eastward_momentum_flux_in_air_due_to_orographic_gravity_waves,Not present,,longitude: time: mean where air,Zonal mean of the vertical flux of zonal momentum within the orographic gravity wave parameterization,latitude plev39 time,day,Zonal mean eastward Reynolds stress from orographic gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.day.tauunowgw_tavg-p39-hy-air (EdayZ.tauunowgw),815,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/815,day atmos,tauunowgw_tavg-p39-hy-air,upward_eastward_momentum_flux_in_air_due_to_nonorographic_westward_gravity_waves,Not present,,longitude: time: mean where air,Zonal mean vertical wave flux of zonal momentum within the non-orographic gravity wave parameterization associated with the westward propagating modes.,latitude plev39 time,day,Zonal mean eastward Reynolds stress from non-orographic westward gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.day.tauunoegw_tavg-p39-hy-air (EdayZ.tauunoegw),814,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/814,day atmos,tauunoegw_tavg-p39-hy-air,upward_eastward_momentum_flux_in_air_due_to_nonorographic_eastward_gravity_waves,Not present,,longitude: time: mean where air,Zonal mean vertical wave flux of zonal momentum within the non-orographic gravity wave parameterization associated with the eastward propagating modes.,latitude plev39 time,day,Zonal mean eastward Reynolds stress from non-orographic eastward gravity wave parameterization,atmos,,,Pa,New,,,,,
Variable atmos.day.vtendogw_tavg-p19-hxy-air (Eday.vtendogw),806,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/806,day atmos,vtendogw_tavg-p19-hxy-air,tendency_of_northward_wind_due_to_orographic_gravity_wave_drag,Not present,area: areacella,area: time: mean where air,Tendency of northward wind induced by the parameterized orographic gravity wave drag,longitude latitude plev19 time,day,Tendency of northward wind due to orographic gravity waves,atmos,,"This is the total tendency due to parameterized orographic gravity wave drag, which is the sum of all possible components of the parameterization (where applicable). We ask that in the Essential Model Documentation modelling centers specify the parameterization scheme used and the specific values of its tunable parameters used for the simulation, and a specification of the part of the gravity wave spectrum that is targeted by the parameterization (e.g., minimally, the effective resolution of the model).",m s-2,New,,,,,
