title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable land.mon.raLut_tavg-u-hxy-lnd (Emon.raLut),1860,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1860,mon land CMIP6 UKESM1,raLut_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,,area: areacella,area: time: mean where sector,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on land-use tiles.,longitude latitude landUse time,mon,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],land,,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude landUse time CMIP7:longitude latitude time landUse,;  Changes since reverted/fixed. Variable now matches CMIP6 definition.",kg m-2 s-1,CMIP6 CMOR variable,,,"land_use_tile_mean( m01s19i184[lbtim_ia=240,lbproc=128] / (SECONDS_IN_DAY * DAYS_IN_YEAR), m01s19i013[lbtim_ia=240,lbproc=128])",,kg m-2 s-1
Variable land.mon.nLitterSurf_tavg-u-hxy-lnd (Emon.nLitterSurf),1859,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1859,mon land CMIP6,nLitterSurf_tavg-u-hxy-lnd,surface_litter_mass_content_of_nitrogen,"""comment"" was ""'Content' indicates a quantity per unit area. 'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Surface litter' means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."";",area: areacella,area: mean where land time: mean,"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Surface litter"" means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material.",longitude latitude time,mon,Nitrogen Mass in Above-Ground Litter (non CWD),land,,,kg m-2,CMIP6 CMOR variable,,,,,
Variable land.fx.sftgif_ti-u-hxy-u (fx.sftgif),1854,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1854,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,sftgif_ti-u-hxy-u,land_ice_area_fraction,"""comment"" was ""Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"";",area: areacella,area: mean,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers).",longitude latitude,fx,Land Ice Area Percentage,land,,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",%,CMIP6 CMOR variable,m01s03i317,,m01s03i317,,%
Variable land.fx.rootd_ti-u-hxy-lnd (fx.rootd),1853,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1853,fx land CMIP6 BCV,rootd_ti-u-hxy-lnd,root_depth,"""comment"" was ""report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as *missing* where the land fraction is 0."";",area: areacella,area: mean,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.",longitude latitude,fx,Maximum Root Depth,land,,,m,CMIP6 CMOR variable,,,,,
Variable land.fx.orog_ti-u-hxy-u (fx.orog),1852,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1852,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,orog_ti-u-hxy-u,surface_altitude,"""comment"" was ""The surface called 'surface' means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."";",area: areacella,area: mean,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).",longitude latitude,fx,Surface Altitude,land,,,m,CMIP6 CMOR variable,m01s00i033,,m01s00i033,,m
Variable land.fx.mrsofc_ti-u-hxy-lnd (fx.mrsofc),1851,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1851,fx land CMIP6 UKESM1 HadGEM3-GC31 BCV,mrsofc_ti-u-hxy-lnd,soil_moisture_content_at_field_capacity,"""comment"" was ""The bulk water content retained by the soil at -33 J/kg of suction pressure, expressed as mass per unit land area; report as missing where there is no land"";",area: areacella,area: mean where land,"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0.",longitude latitude,fx,Capacity of Soil to Store Water (Field Capacity),land,,This variable should exclude lake water and must refer to soil water only.; CHANGE: processing clarified.,kg m-2,CMIP6 CMOR variable,mask_zeros(m01s00i041 * FRESHWATER_DENSITY),,mask_zeros(m01s00i041 * FRESHWATER_DENSITY),,kg m-2
Variable land.fx.areacellr_ti-u-hxy-u (fx.areacellr),1845,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1845,fx land CMIP6,areacellr_ti-u-hxy-u,cell_area,"""comment"" was ""For river routing model, if grid differs from the atmospheric grid."";",,area: sum,"Cell areas for any grid used to report river model variables (may be the same as for atmospheric variables). These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).",longitude latitude,fx,Grid-Cell Area for River Model Variables,land,,,m2,CMIP6 CMOR variable,,,,,
Variable land.day.tslsi_tavg-u-hxy-u (day.tslsi),1835,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1835,day land CMIP6,tslsi_tavg-u-hxy-u,surface_temperature,"""cell_methods"" was ""area: time: mean (comment: over land and sea ice)"";",area: areacella,area: time: mean (over land and sea ice),Surface temperature of all surfaces except open ocean.,longitude latitude time,day,Surface Temperature Where Land or Sea Ice,land,,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean (comment: over land and sea ice) CMIP7:area: time: mean (over land and sea ice),",K,CMIP6 CMOR variable,,,,,
Variable land.day.mrsol_tavg-z10cm-hxy-lnd (day.mrsos),1810,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1810,day land CMIP6 UKESM1 HadGEM3-GC31,mrsol_tavg-z10cm-hxy-lnd,mass_content_of_water_in_soil_layer,"""comment"" was ""The mass of water in all phases in the upper 10cm of the  soil layer."";",area: areacella,area: mean where land time: mean,the mass of water in all phases in a thin surface soil layer.,longitude latitude time sdepth1,day,Moisture in Upper Portion of Soil Column,land,,"integrate over uppermost 10 cm; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time sdepth1 CMIP7:longitude latitude time  sdepth1,;  Changes since reverted/fixed. Variable now matches CMIP6 definition.",kg m-2,CMIP6 CMOR variable,"m01s08i223[blev=0.05, lbproc=128]",,"m01s08i223[blev=0.05, lbproc=128]",,kg m-2
Variable land.day.mrso_tavg-u-hxy-lnd (day.mrso),1809,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1809,day land CMIP6 UKESM1 HadGEM3-GC31,mrso_tavg-u-hxy-lnd,mass_content_of_water_in_soil,,area: areacella,area: mean where land time: mean,the mass per unit area  (summed over all soil layers) of water in all phases.,longitude latitude time,day,Total Soil Moisture Content,land,,,kg m-2,CMIP6 CMOR variable,level_sum(m01s08i223[lbproc=128]),,level_sum(m01s08i223[lbproc=128]),,kg m-2
Variable land.day.mrro_tavg-u-hxy-lnd (day.mrro),1808,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1808,day land CMIP6 UKESM1 HadGEM3-GC31,mrro_tavg-u-hxy-lnd,runoff_flux,"""comment"" was ""The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell."";",area: areacella,area: mean where land time: mean,"computed as the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell.",longitude latitude time,day,Total Runoff,land,,,kg m-2 s-1,CMIP6 CMOR variable,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,m01s08i234[lbproc=128] + m01s08i235[lbproc=128],,kg m-2 s-1
Variable land.mon.tsl_tavg-l-hxy-lnd (Lmon.tsl),1307,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1307,mon land CMIP6 UKESM1 HadGEM3-GC31,tsl_tavg-l-hxy-lnd,soil_temperature,"""comment"" was ""Temperature of soil. Reported as missing for grid cells with no land."";",area: areacella,area: mean where land time: mean,"Temperature of each soil layer.  Reported as ""missing"" for grid cells occupied entirely by ""sea"".",longitude latitude sdepth time,mon,Temperature of Soil,land,,"If soil layer thicknesses vary from one location to another, interpolate to a standard set of depths.  Ideally, the interpolation should preserve the vertical integral.",K,CMIP6 CMOR variable,m01s08i225[lbproc=128],,m01s08i225[lbproc=128],,K
Variable land.mon.treeFrac_tavg-u-hxy-u (Lmon.treeFrac),1306,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1306,mon land CMIP6 UKESM1 HadGEM3-GC31,treeFrac_tavg-u-hxy-u,area_fraction,"""comment"" was ""Percentage of entire grid cell  that is covered by trees.""; ; ""cell_methods"" was ""area: mean where land over all_area_types time: mean"";",area: areacella,area: time: mean,fraction of entire grid cell  that is covered by trees.,longitude latitude time typetree,mon,Tree Cover Percentage,land,,"add scalar coordinate typetree and add ""tree"" to the CF area type table.  Note that if this variable is independent of time, it should be stored only for a single time (user choice).; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time typetree CMIP7:longitude latitude time  typetree,;  ; CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean where land over all_area_types time: mean CMIP7:area: time: mean,",%,CMIP6 CMOR variable,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')",,"land_class_area(m01s19i013[lbtim_ia=240,lbproc=128], m01s03i395[lbproc=128], land_class='tree')",,%
