title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable land.fx.sftlkf_ti-u-hxy-u (fx.sftlkf),1856,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1856,fx land,sftlkf_ti-u-hxy-u,area_fraction,Not present,area: areacella,area: mean,Fraction of horizontal land grid cell area occupied by lake.,longitude latitude typelkins,fx,Fraction of the Grid Cell Occupied by Lake,land,,New area type 'lake_and_inland_sea': <https://github.com/cf-convention/vocabularies/issues/65>,1,New,,,,,
Variable land.fx.lithk_ti-u-hxy-u (fx.lithk),1849,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1849,fx land,lithk_ti-u-hxy-u,land_ice_thickness,Not present,area: areacella,area: mean,"This variable identifies the thickness of a prescribed ice sheet. This information is relevant to better understand how different models treat ice. For models where an ice sheet is just orography + an ice sheet mask, the value should be set to zero. For models that explicitly resolve an ice sheet thickness, the thickness of the ice sheet should be provided.",longitude latitude,fx,Ice sheet thickness,land,,,m,New,,,,,
Variable land.fx.depthsl_ti-u-hxy-u (fx.depthsl),1847,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1847,fx land,depthsl_ti-u-hxy-u,depth,Not present,area: areacella,area: mean,Total (cumulative) thickness of all soil layers. This is the sum of individual thicknesses of all soil layers.,longitude latitude,fx,Total (Cumulative) Thickness of All Soil Layers,land,,,m,New,,,,,
Variable land.fx.depthl_ti-u-hxy-u (fx.depthl),1846,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1846,fx land,depthl_ti-u-hxy-u,depth,Not present,area: areacella,area: mean,"Depth of lakes, if this quantity is present in the model. If computed via volume and area, then this is lake volume divided by lake area.",longitude latitude,fx,Depth of Lake Below the Surface,land,,,m,New,,,,,
Variable land.day.irr_tavg-u-hm-u (day.irrSurf),1807,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1807,day land,irr_tavg-u-hm-u,surface_downward_mass_flux_of_water_due_to_irrigation,Not present,area: areacella,area: mean,"the amount of water withdrawal for irrigation from surface water, including rivers, lakes, reservoirs, etc.)",longitude latitude time,day,irrigation water withdrawal from surface water,land,,,kg m-2 s-1,New,,,,,
Variable land.day.irr_tavg-u-hm-u (day.irrLut),1806,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1806,day land,irr_tavg-u-hm-u,surface_downward_mass_flux_of_water_due_to_irrigation,Not present,area: areacella,area: mean,the total amount of water withdrawal from multiple sources,longitude latitude time,day,irrigation water withdrawal,land,,,kg m-2 s-1,New,,,,,
Variable land.day.irrGw_tavg-u-hm-u (day.irrGw),1805,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1805,day land,irrGw_tavg-u-hm-u,surface_downward_mass_flux_of_water_due_to_irrigation,Not present,area: areacella,area: mean,"the amount of water withdrawal for irrigation from ground water, including deep soil water, confined and unconfined aquifer, etc",longitude latitude time,day,irrigation water withdrawal from groundwater,land,,,kg m-2 s-1,New,,,,,
Variable land.day.irrDem_tavg-u-hm-u (day.irrDem),1804,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1804,day land,irrDem_tavg-u-hm-u,surface_downward_mass_flux_of_water_due_to_irrigation,Not present,area: areacella,area: mean,the total amount of irrigation water demand,longitude latitude time,day,irrigation water demand,land,,,kg m-2 s-1,New,,,,,
Variable land.mon.fHarvestToGeologicStorage_tavg-u-hxy-lnd (Lmon.fHarvestToGeologicStorage),1282,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1282,mon land,fHarvestToGeologicStorage_tavg-u-hxy-lnd,mass_flux_of_carbon_from_biomass_into_geological_storage,Not present,area: areacella,area: mean,"Flux of carbon harvested from biomass that goes into geologic storage for the purposes of intentional carbon dioxide removal, via efforts such as bioenergy with carbon capture and storage (BECCS) or biomass removal and storage (BiCRS). The definition of geologic storage here is that the resulting carbon be  stored for a period of time that is long relative to that of the simulation.",longitude latitude time,mon,Harvested Biomass That Goes into Geological Storage,land,down,Positive number represents a flux of carbon from biomass (down) to geologic storage.,kg m-2 s-1,New,,,,,
Variable land.mon.cGeologicStorage_tavg-u-hm-u (Lmon.cGeologicStorage),1272,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1272,mon land,cGeologicStorage_tavg-u-hm-u,carbon_mass_content_of_geological_storage,Not present,area: areacella,area: mean,Mass of carbon that has been intentionally sequestered in geologic storage. The definition of geologic storage here is that it be stored for periods of time that are long as compared to the simulation.,longitude latitude time,mon,Carbon Mass in Geologic Storage,land,,"This variable should only contain carbon that is stored through processes that are represented by the Earth system model itself, not carbon that is stored solely on the basis of a forcing dataset. For example, if an ESM represents biomass energy with carbon capture and storage (BECCS) as a prognostic process, then the resulting carbon storage would be included here; whereas if a process like direct air capture (DAC) is represented solely as a negative carbon emissions flux in the scenario forcing dataset, then it would not be included here.",kg m-2,New,,,,,
Variable land.mon.rsus_tavg-u-hxy-sn (Emon.rsuss),1012,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1012,mon land,rsus_tavg-u-hxy-sn,surface_upwelling_shortwave_flux_in_air,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),Surface Upwelling Shortwave Radiation over the portion of a land grid cell covered by snow. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Snow,land,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus",W m-2,New,,,,,
Variable land.mon.rsus_tavg-u-hxy-ufs (Emon.rsuslni),1010,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1010,mon land,rsus_tavg-u-hxy-ufs,surface_upwelling_shortwave_flux_in_air,Not present,area: areacella,"area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)",Surface Upwelling Shortwave Radiation over the portion of a land grid cell not covered by ice sheets or snow. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,land,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus.",W m-2,New,,,,,
Variable land.mon.?_tavg-u-hxy-is (Emon.rsusis),1009,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1009,mon land,?_tavg-u-hxy-is,surface_upwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean where ice_sheet,"Surface Upwelling Shortwave Radiation over the ice-sheet covered portion of a grid cell, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Upwelling Shortwave Radiation over Ice Sheets,land,up,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsus.",W m-2,New,,,,,
Variable land.mon.rsds_tavg-u-hxy-sn (Emon.rsdss),1006,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1006,mon land,rsds_tavg-u-hxy-sn,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),Surface Downwelling Shortwave Radiation over the portion of a land grid cell covered by snow but not by ice. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Snow,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds",W m-2,New,,,,,
Variable land.mon.rsds_tavg-u-hxy-ufs (Emon.rsdslni),1004,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1004,mon land,rsds_tavg-u-hxy-ufs,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella,"area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)",Surface Downwelling Shortwave Radiation over the portion of a land grid cell not covered by ice sheets or snow. Can be used for computation of surface albedo.,longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",W m-2,New,,,,,
Variable land.mon.?_tavg-u-hxy-is (Emon.rsdsis),1003,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1003,mon land,?_tavg-u-hxy-is,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean where ice_sheet,"Surface Downwelling Shortwave Radiation over the ice-sheet covered portion of a grid cell, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Ice Sheets,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",W m-2,New,,,,,
Variable land.mon.cnc_tavg-u-hxy-u (Emon.cnc),870,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/870,mon land,cnc_tavg-u-hxy-u,vegetation_area_fraction,Not present,area: areacella,area: mean where land time: mean,Canopy covered fraction,longitude latitude time,mon,Canopy Covered Area Percentage,land,,,%,New,,,,,
Variable land.mon.albsn_tavg-u-hxy-sn (Emon.albsn),834,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/834,mon land,albsn_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),"This is similar to Eday.albsn, but providing monthly averages",longitude latitude time,mon,Snow Albedo,land,,,1,New,,,,,
Variable land.mon.albc_tavg-u-hxy-veg (Emon.albc),833,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/833,mon land,albc_tavg-u-hxy-veg,canopy_albedo,Not present,area: areacella,area: mean where land time: mean,Canopy Albedo,longitude latitude time,mon,Canopy Albedo,land,,,1,New,,,,,
Variable land.day.rhVgt_tavg-u-hxy-lus (Eday.rhVgt),772,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/772,day land,rhVgt_tavg-u-hxy-lus,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,Not present,area: areacella,area: time: mean where sector,"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on vegetation type.",longitude latitude vegtype time,day,Heterotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,kg m-2 s-1,New,,,,,
