title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable ocean.mon.wppwindsea_tavg-u-hxy-sea (Omon.wppwindsea),1609,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1609,mon ocean,wppwindsea_tavg-u-hxy-sea,sea_surface_wind_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic wind-sea waves (i.e., local wind waves). In spectral wind wave models, this represents the spectral peak across part of the two-dimensional wave spectrum, incorporating just wind-sea waves.",longitude latitude time depth0m,mon,Wind Sea Wave Peak Period,ocean,,,s,New,,,,,
Variable ocean.mon.wppswell_tavg-u-hxy-sea (Omon.wppswell),1608,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1608,mon ocean,wppswell_tavg-u-hxy-sea,sea_surface_swell_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic swell waves (i.e., waves that have propagated away from their generation area). In spectral wind wave models, this represents the spectral peak across part of the two-dimensional wave spectrum, incorporating just swell waves.",longitude latitude time depth0m,mon,Swell Wave Peak Period,ocean,,,s,New,,,,,
Variable ocean.mon.wpp_tavg-u-hxy-sea (Omon.wpp),1607,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1607,mon ocean,wpp_tavg-u-hxy-sea,sea_surface_wave_period_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Wave period associated with the most energetic waves in total wave spectrum, incorporating both wind-sea and swell waves. In spectral wind wave models, this represents the spectral peak across the entire two-dimensional wave spectrum, incorporating both wind-sea and swell waves.",longitude latitude time depth0m,mon,Total Wave Peak Period,ocean,,,s,New,,,,,
Variable ocean.mon.wpdirwindsea_tavg-u-hxy-sea (Omon.wpdirwindsea),1606,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1606,mon ocean,wpdirwindsea_tavg-u-hxy-sea,sea_surface_wind_wave_from_direction_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves), by identifying the direction associated with the peak (maximum) energy density. This variable is typically expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Wind Sea Peak Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.wpdirswell_tavg-u-hxy-sea (Omon.wpdirswell),1605,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1605,mon ocean,wpdirswell_tavg-u-hxy-sea,sea_surface_swell_wave_from_direction_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area), by identifying the direction associated with the peak (maximum) energy density. This variable is typically expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Swell Peak Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.wpdir_tavg-u-hxy-sea (Omon.wpdir),1604,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1604,mon ocean,wpdir_tavg-u-hxy-sea,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,Not present,area: areacello,area: mean where sea time: mean,"Direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves, by identifying the direction associated with the peak (maximum) energy density. This variable is usually expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Total Peak Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.wdirwindsea_tavg-u-hxy-sea (Omon.wdirwindsea),1599,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1599,mon ocean,wdirwindsea_tavg-u-hxy-sea,sea_surface_wind_wave_from_direction,Not present,area: areacello,area: mean where sea time: mean,"Mean direction of wave propagation (direction from which the wave is coming) derived from the wind-sea component of the wave energy spectrum (i.e., local wind waves). This variable is usually expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Sea Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.wdirswell_tavg-u-hxy-sea (Omon.wdirswell),1598,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1598,mon ocean,wdirswell_tavg-u-hxy-sea,sea_surface_swell_wave_from_direction,Not present,area: areacello,area: mean where sea time: mean,"Mean direction of wave propagation (direction from which the wave is coming) derived from the swell component of the wave energy spectrum (i.e., waves that have propagated away from their generation area). This variable is usually expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Swell Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.wdir_tavg-u-hxy-sea (Omon.wdir),1597,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1597,mon ocean,wdir_tavg-u-hxy-sea,sea_surface_wave_from_direction,Not present,area: areacello,area: mean where sea time: mean,"Mean direction of wave propagation (direction from which the wave is coming) derived from the total wave energy spectrum, incorporating both wind-sea and swell waves. This variable is usually expressed in degrees relative to true north.",longitude latitude time depth0m,mon,Total Wave Direction,ocean,,,degree,New,,,,,
Variable ocean.mon.thkcellvo_tavg-l-hxy-sea (Omon.thkcellvo),1581,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1581,mon ocean,thkcellvo_tavg-l-hxy-sea,cell_thickness,Not present,area: areacello volume: volcello,area: mean where sea time: mean,"The time varying thickness of ocean cells centered at v-points (points for velocity in the y-direction). ""Thickness"" means the vertical extent of a layer. ""Cell"" refers to a model grid-cell.",longitude latitude olevel time,mon,Ocean Model Cell Thickness at v-points,ocean,,Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.,m,New,,,,,
