title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable ocnBgchem.mon.dpco2_tavg-u-hm-sea (Omon.dpco2),1863,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1863,mon ocnBgchem CMIP6 UKESM1,dpco2_tavg-u-hm-sea,surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air,"""comment"" was ""Difference in partial pressure of carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. "";",area: areacello,area: mean where sea time: mean,Difference in partial pressure of carbon dioxide between sea water and air.  The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium.,longitude latitude time depth0m,mon,Delta CO2 Partial Pressure,ocnBgchem,,"Difference between atmospheric and oceanic partial pressure of CO2 (positive meaning ocean > atmosphere); ; CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time depth0m CMIP7:longitude latitude time  depth0m,;  Changes since reverted/fixed. Variable now matches CMIP6 definition.",Pa,CMIP6 CMOR variable,,,OCN_PCO2 - ATM_PCO2,,uatm
Variable ocnBgchem.mon.sisi_tavg-u-hxy-si (SImon.sisi),1764,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1764,mon ocnBgchem,sisi_tavg-u-hxy-si,sea_ice_mole_content_of_silicon,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated amount of silicate in ice algae, expressed in moles of silicon per square meter of sea ice.",longitude latitude time,mon,Dissolved Silicon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.sino3_tavg-u-hxy-si (SImon.sino3),1757,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1757,mon ocnBgchem,sino3_tavg-u-hxy-si,sea_ice_mole_content_of_nitrate,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated amount of nitrate in ice algae, expressed in moles of nitrogen per square meter of sea ice.",longitude latitude time,mon,Dissolved Nitrate Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.sigpp_tavg-u-hxy-si (SImon.sigpp),1745,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1745,mon ocnBgchem,sigpp_tavg-u-hxy-si,gross_primary_productivity_of_biomass_expressed_as_carbon_due_to_ice_algae_in_sea_ice,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Change in ice algal carbon mass due to photosynthesis per sea ice unit area per unit time.,longitude latitude time,mon,Gross Primary Productivity in Sea Ice as Carbon Amount Flux,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",kg m-2 s-1,New,,,,,
Variable ocnBgchem.mon.sichl_tavg-u-hxy-si (SImon.sichl),1703,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1703,mon ocnBgchem,sichl_tavg-u-hxy-si,sea_ice_mass_content_of_ice_algae_expressed_as_chlorophyll,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated content of Chl-a in ice algae, expressed as kg of Chl-a per square meter of sea ice.",longitude latitude time,mon,Amount of Total Ice Algae Expressed as Chlorophyll in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",kg m-2,New,,,,,
Variable ocnBgchem.mon.sialgc_tavg-u-hxy-si (SImon.sialgc),1699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1699,mon ocnBgchem,sialgc_tavg-u-hxy-si,sea_ice_mole_content_of_ice_algae_expressed_as_carbon,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated content of carbon in ice algae, expressed as moles of carbon per square meter of sea ice.",longitude latitude time,mon,Total Ice Algal Carbon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.zooc_tavg-z0m-hxy-sea (Omon.zoocos),1617,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1617,mon ocnBgchem CMIP6 UKESM1,zooc_tavg-z0m-hxy-sea,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello,area: mean where sea time: mean,sum of zooplankton carbon component concentrations,longitude latitude time,mon,Surface Zooplankton Carbon Concentration,ocnBgchem,,,mol m-3,CMIP6 CMOR variable,,,(ZMI[depth=0] + ZME[depth=0]) * C_TO_N_RATIO_ZOO,,mol m-3
Variable ocnBgchem.mon.zooc_tavg-l-hxy-sea (Omon.zooc),1616,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1616,mon ocnBgchem CMIP6 UKESM1,zooc_tavg-l-hxy-sea,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello volume: volcello,area: mean where sea time: mean,sum of zooplankton carbon component concentrations,longitude latitude olevel time,mon,Zooplankton Carbon Concentration,ocnBgchem,,,mol m-3,CMIP6 CMOR variable,,,(ZMI_E3T + ZME_E3T) * C_TO_N_RATIO_ZOO / thkcello,,mmol m-3
Variable ocnBgchem.mon.zmisc_tavg-z0m-hxy-sea (Omon.zmiscos),1615,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1615,mon ocnBgchem CMIP6,zmisc_tavg-z0m-hxy-sea,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello,area: mean where sea time: mean,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",longitude latitude time,mon,Surface Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,ocnBgchem,,,mol m-3,CMIP6 CMOR variable,,,,,
Variable ocnBgchem.mon.zmisc_tavg-l-hxy-sea (Omon.zmisc),1614,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1614,mon ocnBgchem CMIP6,zmisc_tavg-l-hxy-sea,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,,area: areacello volume: volcello,area: mean where sea time: mean,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",longitude latitude olevel time,mon,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,ocnBgchem,,,mol m-3,CMIP6 CMOR variable,,,,,
