title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable ocnBgchem.mon.sisi_tavg-u-hxy-si (SImon.sisi),1764,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1764,mon ocnBgchem,sisi_tavg-u-hxy-si,sea_ice_mole_content_of_silicon,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated amount of silicate in ice algae, expressed in moles of silicon per square meter of sea ice.",longitude latitude time,mon,Dissolved Silicon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.sino3_tavg-u-hxy-si (SImon.sino3),1757,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1757,mon ocnBgchem,sino3_tavg-u-hxy-si,sea_ice_mole_content_of_nitrate,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated amount of nitrate in ice algae, expressed in moles of nitrogen per square meter of sea ice.",longitude latitude time,mon,Dissolved Nitrate Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.sigpp_tavg-u-hxy-si (SImon.sigpp),1745,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1745,mon ocnBgchem,sigpp_tavg-u-hxy-si,gross_primary_productivity_of_biomass_expressed_as_carbon_due_to_ice_algae_in_sea_ice,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Change in ice algal carbon mass due to photosynthesis per sea ice unit area per unit time.,longitude latitude time,mon,Gross Primary Productivity in Sea Ice as Carbon Amount Flux,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",kg m-2 s-1,New,,,,,
Variable ocnBgchem.mon.sichl_tavg-u-hxy-si (SImon.sichl),1703,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1703,mon ocnBgchem,sichl_tavg-u-hxy-si,sea_ice_mass_content_of_ice_algae_expressed_as_chlorophyll,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated content of Chl-a in ice algae, expressed as kg of Chl-a per square meter of sea ice.",longitude latitude time,mon,Amount of Total Ice Algae Expressed as Chlorophyll in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",kg m-2,New,,,,,
Variable ocnBgchem.mon.sialgc_tavg-u-hxy-si (SImon.sialgc),1699,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1699,mon ocnBgchem,sialgc_tavg-u-hxy-si,sea_ice_mole_content_of_ice_algae_expressed_as_carbon,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Vertically-integrated content of carbon in ice algae, expressed as moles of carbon per square meter of sea ice.",longitude latitude time,mon,Total Ice Algal Carbon Amount in Sea Ice,ocnBgchem,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",mol m-2,New,,,,,
Variable ocnBgchem.mon.intppnano_tavg-u-hxy-sea (Omon.intppnano),1479,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1479,mon ocnBgchem,intppnano_tavg-u-hxy-sea,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_nanophytoplankton,Not present,area: areacello,area: mean where sea depth: sum where sea time: mean,Vertically integrated total primary (organic carbon) production by nanophytoplankton.,longitude latitude time,mon,Net Primary Organic Carbon Production by Nanophytoplankton,ocnBgchem,,,mol m-2 s-1,New,,,,,
Variable ocnBgchem.mon.expsiob_tavg-u-hxy-sea (Omon.expsiob),1425,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1425,mon ocnBgchem,expsiob_tavg-u-hxy-sea,sinking_mole_flux_of_particulate_silicon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate silicon at seafloor,longitude latitude depthseafloor time,mon,Sinking Flux of Particulate Silicon Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,mol m-2 s-1,New,,,,,
Variable ocnBgchem.mon.exppob_tavg-u-hxy-sea (Omon.exppob),1424,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1424,mon ocnBgchem,exppob_tavg-u-hxy-sea,sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic phosphorus at seafloor,longitude latitude depthseafloor time,mon,Sinking Flux of Particulate Organic Phosphorus Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,mol m-2 s-1,New,,,,,
Variable ocnBgchem.mon.expnob_tavg-u-hxy-sea (Omon.expnob),1423,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1423,mon ocnBgchem,expnob_tavg-u-hxy-sea,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic nitrogen at seafloor,longitude latitude depthseafloor time,mon,Sinking Flux of Particulate Organic Nitrogen Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,mol m-2 s-1,New,,,,,
Variable ocnBgchem.mon.expfeob_tavg-u-hxy-sea (Omon.expfeob),1422,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1422,mon ocnBgchem,expfeob_tavg-u-hxy-sea,sinking_mole_flux_of_particulate_iron_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate iron at seafloor,longitude latitude depthseafloor time,mon,Sinking Flux of Particulate Iron Reaching the Ocean Bottom,ocnBgchem,down,Variable value should be reported as the flux exiting the bottom of the deepest ocean layer,mol m-2 s-1,New,,,,,
