title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable seaIce.mon.sisnmass_tavg-u-hm-u (SImon.sisnmasss),1776,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1776,mon seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Southern Hemisphere.,time,mon,Snow Mass on Sea Ice South,seaIce,,,kg,New,,,,,
Variable seaIce.mon.sisnmass_tavg-u-hm-u (SImon.sisnmassn),1775,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1775,mon seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Northern Hemisphere.,time,mon,Snow Mass on Sea Ice North,seaIce,,,kg,New,,,,,
Variable seaIce.mon.simpeffconc_tavg-u-hxy-si (SImon.simpeffconc),1754,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1754,mon seaIce,simpeffconc_tavg-u-hxy-si,area_fraction,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Area fraction of sea-ice surface that is covered by open melt ponds, that is melt ponds that are not covered by snow or ice lids. This represents the effective (i.e. radiatively-active) melt pond area fraction.",longitude latitude time typemp,mon,Fraction of Sea Ice Covered by Effective Melt Pond,seaIce,,,%,New,,,,,
Variable seaIce.mon.siflsaltbot_tavg-u-hxy-si (SImon.siflsaltbot),1733,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1733,mon seaIce UKESM1,siflsaltbot_tavg-u-hxy-si,downward_sea_ice_basal_salt_flux,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Total flux of salt from water into sea ice divided by grid-cell area. This flux is upward (negative) during ice growth when salt is embedded into the ice and downward (positive) during melt when salt from sea ice is again released to the ocean.,longitude latitude time,mon,Salt Flux from Sea Ice,seaIce,down,"Identical to the now-deprecated CMIP6 variable SImon.sfdsi; Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",kg m-2 s-1,New,,,((meltt + meltb + meltl - congel - frazil) * ICE_DENSITY + melts * SNOW_DENSITY) / (100. * SECONDS_IN_DAY * aice) * REF_SALINITY / 1000.,,kg m-2 s-1
Variable seaIce.day.sivol_tavg-u-hm-u (SIday.sivols),1697,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1697,day seaIce,sivol_tavg-u-hm-u,sea_ice_volume,Not present,,area: sum time: mean,Total integrated volume of sea ice in the Southern Hemisphere.,time,day,Sea-Ice Volume South,seaIce,,,1e3 km3,New,,,,,
Variable seaIce.day.sivol_tavg-u-hm-u (SIday.sivoln),1696,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1696,day seaIce,sivol_tavg-u-hm-u,sea_ice_volume,Not present,,area: sum time: mean,Total integrated volume of sea ice in the Northern Hemisphere.,time,day,Sea-Ice Volume North,seaIce,,,1e3 km3,New,,,,,
Variable seaIce.day.tssi_tavg-u-hxy-si (SIday.sitempsnic),1690,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1690,day seaIce,tssi_tavg-u-hxy-si,sea_ice_surface_temperature,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Mean temperature at the snow-ice interface. This is the surface temperature of ice where snow thickness is zero.,longitude latitude time,day,Temperature at Snow-Ice Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",K,New,,,,,
Variable seaIce.day.sitempbot_tavg-u-hxy-si (SIday.sitempbot),1689,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1689,day seaIce,sitempbot_tavg-u-hxy-si,sea_ice_basal_temperature,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Mean temperature at the base of the sea ice, NOT the temperature within lowermost sea-ice model layer.",longitude latitude time,day,Temperature at Ice-Ocean Interface,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",K,New,,,,,
Variable seaIce.day.sisnmass_tavg-u-hm-u (SIday.sisnmasss),1686,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1686,day seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Southern Hemisphere.,time,day,Snow Mass on Sea Ice South,seaIce,,,kg,New,,,,,
Variable seaIce.day.sisnmass_tavg-u-hm-u (SIday.sisnmassn),1685,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1685,day seaIce,sisnmass_tavg-u-hm-u,surface_snow_mass,Not present,,area: sum time: mean,Total integrated mass of snow on sea ice in the Northern Hemisphere.,time,day,Snow Mass on Sea Ice North,seaIce,,,kg,New,,,,,
Variable seaIce.day.sisnhc_tavg-u-hxy-si (SIday.sisnhc),1684,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1684,day seaIce,sisnhc_tavg-u-hxy-si,thermal_energy_content_of_surface_snow,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Heat content of all snow in grid cell divided by grid-cell area. This includes both the latent and sensible heat content contributions. Snow-water equivalent at 0 C is assumed to have a heat content of 0 J. Does not include the heat content of sea ice.,longitude latitude time,day,Snow Heat Content,seaIce,,,J m-2,New,,,,,
Variable seaIce.day.sisaltmass_tavg-u-hxy-si (SIday.sisaltmass),1683,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1683,day seaIce,sisaltmass_tavg-u-hxy-si,sea_ice_mass_content_of_salt,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Total mass of all salt in sea ice divided by grid-cell area. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the total mass of all salt in sea ice should be calculated from the salinity value used in the calculation of the salt budget.",longitude latitude time,day,Mass of Salt in Sea Ice,seaIce,,Total mass of all salt in sea ice divided by grid-cell area,kg m-2,New,,,,,
Variable seaIce.day.sisali_tavg-u-hxy-si (SIday.sisali),1682,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1682,day seaIce,sisali_tavg-u-hxy-si,sea_ice_salinity,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Mean sea-ice salinity of all sea ice in grid cell. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the mean salinity used in the calculation of the salt budget should be reported.",longitude latitude time,day,Sea-Ice Salinity,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",1E-03,New,,,,,
Variable seaIce.day.sithickrdg_tavg-u-hxy-sir (SIday.sirdgthick),1681,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1681,day seaIce,sithickrdg_tavg-u-hxy-sir,sea_ice_thickness,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Total volume of ridged sea ice divided by area of ridges, i.e. mean thickness of ridged sea ice.",longitude latitude time,day,Ridged Ice Thickness,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",m,New,,,,,
Variable seaIce.day.sirdgconc_tavg-u-hxy-u (SIday.sirdgconc),1680,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1680,day seaIce,sirdgconc_tavg-u-hxy-u,area_fraction,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Area fraction of sea-ice surface that is ridged sea ice.,longitude latitude time,day,Fraction of Ridged Sea Ice,seaIce,,"Fraction of sea ice, by area, which is covered by sea ice ridges, giving equal weight to every square metre of sea ice.",%,New,,,,,
Variable seaIce.day.simpthick_tavg-u-hxy-si (SIday.simpthick),1679,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1679,day seaIce,simpthick_tavg-u-hxy-si,sea_ice_melt_pond_thickness,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),"Average depth of melt ponds on sea ice, that is melt pond volume divided by melt pond area.",longitude latitude time,day,Melt Pond Depth,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",m,New,,,,,
Variable seaIce.day.simprefrozen_tavg-u-hxy-simp (SIday.simprefrozen),1678,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1678,day seaIce,simprefrozen_tavg-u-hxy-simp,thickness_of_ice_on_sea_ice_melt_pond,Not present,area: areacello,area: time: mean where sea_ice (mask=siconc),Volume of refrozen ice on melt ponds divided by melt pond covered area.,longitude latitude time,day,Thickness of Refrozen Ice on Melt Pond,seaIce,,"Note that SIMIP requests the area-weighted average for all intensive variables (i.e., variables that are not proportional to area fraction such as albedo, temperature, or heat flux). Hence, all time samples with non-zero sea-ice fraction are first multiplied by area fraction, then summed, and then divided by the sum of the area fractions. See Appendix C of Notz et al. (2016) for more detail.",m,New,,,,,
